Player,Banker,Result
"['5♦️', 'Q♦️']","['K♠️', '8♥️']",B
"['J♣️', '2♣️', '9♥️']","['2♠️', 'Q♦️', '8♣️']",P
"['3♣️', 'K♦️']","['8♥️', 'A♥️']",B
"['Q♠️', '5♣️', '3♥️']","['8♣️', '3♠️', 'Q♥️']",P
"['J♦️', '9♦️']","['8♥️', '7♦️']",P
"['6♥️', 'A♥️']","['K♠️', '7♥️']",T
"['K♠️', '5♣️', '3♠️']","['J♦️', '4♠️', '8♣️']",P
"['9♦️', '10♣️']","['Q♥️', 'K♥️']",P
"['K♦️', '3♥️']","['10♣️', '9♥️']",B
"['Q♦️', '4♣️']","['8♥️', '10♣️']",B
"['J♦️', '10♥️', 'A♣️']","['6♥️', '8♦️']",B
"['8♠️', '2♣️']","['5♦️', '4♣️']",B
"['K♣️', '2♥️']","['10♦️', '8♥️']",B
"['5♥️', '9♣️', '3♥️']","['J♦️', '3♣️', '7♠️']",P
"['2♠️', 'A♣️', '3♠️']","['J♥️', '5♠️', '10♠️']",P
"['9♣️', '10♠️']","['8♠️', '9♦️']",P
"['10♦️', '6♦️']","['9♦️', '7♣️']",T
"['10♣️', '7♣️']","['3♥️', 'Q♠️', '8♦️']",P
"['10♣️', '3♥️', '3♣️']","['2♠️', '3♦️', '5♣️']",P
"['J♥️', '5♠️', '6♦️']","['5♥️', '6♥️', 'J♥️']",T
"['8♣️', 'A♦️']","['A♣️', '9♣️']",P
"['3♠️', '8♣️']","['10♣️', '8♦️']",B
"['3♦️', '4♣️']","['Q♣️', '9♦️']",B
"['6♠️', '10♦️']","['5♦️', '2♠️']",B
"['9♦️', 'A♦️']","['K♥️', '9♣️']",B
"['7♥️', '8♣️', '5♣️']","['5♠️', '10♥️', 'J♦️']",B
"['Q♣️', 'A♣️', '6♣️']","['3♠️', 'Q♦️', 'Q♥️']",P
"['9♦️', '8♥️']","['Q♥️', '4♥️', '5♥️']",B
"['6♣️', '4♣️', 'J♣️']","['A♦️', '5♦️']",B
"['Q♦️', '4♦️', '4♥️']","['7♦️', '4♦️', 'Q♠️']",P
"['9♦️', 'A♣️', 'J♦️']","['10♣️', '5♠️']",B
